RESU;20072
ONCO;20050
UESE;20035
EAUD;20009
ECRI;20007
TREC;20004
UNEA;20000
RANS;19987
NDEP;19985
DETE;19982
ARGE;19966
NNAI;19937
SEUL;19933
REAU;19927
EEPA;19887
EMPS;19881
ESEC;19868
ISQU;19851
RNIE;19847
REPO;19781
EDEB;19740
ECOL;19739
OURE;19733
MOIN;19725
EDUC;19719
TPLU;19707
RIEN;19693
NTDU;19689
DITI;19677
STIT;19665
TEDU;19648
NCIE;19645
ATUR;19643
AITA;19635
NCER;19626
MMES;19624
LATE;19589
UNEF;19586
ISME;19572
NIVE;19567
ONTD;19558
OINT;19554
LANT;19553
SONS;19537
SITI;19535
UEST;19526
OURA;19520
ELAL;19516
EDED;19513
ACHE;19502
POSI;19490
ORSD;19431
PPEL;19393
ANCI;19383
ERUN;19369
SIEU;19361
MINI;19347
ENRE;19331
NERE;19300
DEPL;19295
ADES;19273
EALI;19239
LISA;19231
ISEN;19230
ESAR;19212
APPA;19209
OMPO;19183
ILIT;19180
LEMO;19155
EFRA;19133
REES;19104
APRO;19087
GUER;19065
USQU;19037
SAUT;19036
LIEN;19028
LAPL;19026
SSOU;19025
SAGE;19008
DIRE;19003
MARI;18995
DEPO;18994
PERE;18989
ITAN;18981
RESO;18976
SLEC;18957
SAVE;18938
ELEN;18932
TALA;18932
URCE;18909
STIN;18850
MINE;18837
UESD;18807
ONDI;18804
METR;18804
URUN;18802
CLES;18783
UNDE;18769
ATIQ;18736
EMEM;18733
AMME;18725
UVEL;18697
METT;18688
SESE;18673
PPAR;18665
DESR;18658
RESC;18648
QUEA;18638
IEME;18637
ELQU;18608
EREE;18603
NDEC;18599
TERM;18588
MPOS;18587
EPLA;18585
ITEN;18579
ATTE;18575
NIST;18572
ECAR;18565
TEEN;18545
IREE;18535
SCHA;18485
ENAN;18472
RERE;18460
OQUE;18450
NCEE;18446
LLEU;18430
LETA;18429
QUEM;18425
TEND;18423
ULIE;18412
NAGE;18403
ROIT;18401
ONTP;18365
PROC;18365
UVRE;18354
ITLE;18340
SOUV;18335
NESD;18329
STEM;18276
TESA;18234
ERAI;18221
ENFA;18217
ITEA;18206
ONEN;18173
ACHA;18172
SDEM;18150
UXDE;18150
UISE;18142
POSS;18129
ETEM;18123
ILSE;18121
TLEP;18100
NTEL;18077
FICI;18038
URSA;18016
LAPO;18000
CONF;17999
SCEN;17991
AFIN;17922
ELAD;17921
ISER;17902
URED;17888
SFOR;17874
SALA;17870
URAN;17867
DISP;17864
ALED;17861
FFER;17857
TDEP;17849
ITPA;17844
INEE;17843
ISTI;17835
USES;17830
TELA;17819
ENSI;17798
IONC;17798
PAGN;17790
ISSI;17789
STOI;17780
TERA;17776
TELL;17771
ORSQ;17761
EVEL;17760
JOUE;17755
EFFE;17740
NAIS;17738
LECA;17733
TUEL;17728
IREL;17714
SEAU;17710
LQUE;17694
TESS;17694
ELEU;17686
ERVE;17685
STLE;17683
TTOU;17638
INAL;17629
AITL;17610
ARIS;17592
DUIT;17586
ITAI;17583
ULES;17521
EDIT;17503
NEPA;17497
POLI;17481
SIMP;17470
REDA;17465
FORT;17463
ANIS;17431
UNEE;17399
QUAN;17395
UILL;17389
TREM;17372
APLU;17364
BLED;17363
OISE;17351
MERI;17348
RONT;17347
EREL;17326
DECI;17306
OINS;17277
CIDE;17274
PHIE;17267
VEME;17253
NCHE;17242
ARME;17228
ESFO;17213
SDET;17208
NPAR;17195
UREL;17188
EXTE;17174
EURO;17151
CHAM;17151
RAVE;17141
CIAL;17116
IFFE;17089
NCIP;17080
ESAP;17079
NTRO;17070
DERA;17070
HABI;17065
UCHE;17042
EAUS;17025
RTDE;17021
SMAI;17013
REVE;17000
LEAU;16974
PARI;16971
BREU;16967
PLAN;16938
SONA;16936
UPAR;16905
ESOR;16891
ITUN;16888
NEUR;16874
EQUA;16853
NSCE;16788
EAUT;16782
LESU;16776
SELL;16771
NGUE;16765
ARQU;16758
CULT;16749
UPER;16748
TEES;16731
PAYS;16724
BRES;16715
TOUS;16711
LASE;16703
STAT;16701
EILE;16698
TESL;16680
ISAN;16678
TENA;16673
HOMM;16668
NSTA;16657
NTED;16631
UELQ;16628
NESO;16625
LAFO;16582
ERCE;16557
IETE;16540
SDUN;16521
TECO;16496
NCOR;16495
RRES;16485
REUS;16440
NTSO;16427
ELIN;16426
ITIQ;16420
IDES;16387
TLAP;16374
FIND;16371
LUSD;16355
PARC;16334
ESDO;16333
ASSA;16333
SEES;16319
ESNO;16311
NSTI;16286
EFER;16285
NSET;16283
NTAT;16266
STRO;16253
NTSU;16247
QUET;16244
NTCE;16228
SCES;16226
SOND;16222
ETTR;16217
ERTE;16205
TDUN;16195
RMAT;16192
RECT;16186
ILLI;16178
LELA;16174
IEUX;16161
MEDI;16161
AISA;16157
SGRA;16145
LEDU;16141
ERVI;16136
MISS;16131
CORE;16129
ERMI;16129
AITR;16108
FINA;16089
COLL;16086
CTIV;16065
ALIE;16058
EPEU;16056
VISI;16053
EILS;16026
AVIL;16019
QUER;16013
TALO;16006
ETSE;15991
CITE;15990
IFIE;15978
SUIV;15944
CELE;15944
RSLE;15931
ARUN;15926
NELL;15907
ESTS;15906
RIST;15904
SONE;15900
ATRE;15893
ILDE;15892
ONPE;15869
ESLI;15852
DESF;15850
EDON;15847
TIME;15847
EGEN;15844
